中国电信-甘肃-组播,#genre#
甘肃文化影视,http://60.164.128.167:8029/udp/239.255.30.250:8231
甘肃公共,http://60.164.128.167:8029/udp/239.255.30.251:8231
甘肃都市,http://60.164.128.167:8029/udp/239.255.30.252:8231
甘肃经济,http://60.164.128.167:8029/udp/239.255.30.253:8231
甘肃少儿,http://60.164.128.167:8029/udp/239.255.30.254:8231
CCTV1,http://60.164.128.167:8029/udp/239.255.30.101:8231
CCTV2,http://60.164.128.167:8029/udp/239.255.30.179:8231
CCTV3,http://60.164.128.167:8029/udp/239.255.29.12:8231
CCTV4,http://60.164.128.167:8029/udp/239.255.30.83:8231
CCTV5,http://60.164.128.167:8029/udp/239.255.29.13:8231
CCTV5+,http://60.164.128.167:8029/udp/239.255.30.184:8231
CCTV6,http://60.164.128.167:8029/udp/239.255.29.14:8231
CCTV7,http://60.164.128.167:8029/udp/239.255.30.178:8231
CCTV8,http://60.164.128.167:8029/udp/239.255.29.15:8231
CCTV9,http://60.164.128.167:8029/udp/239.255.30.180:8231
CCTV10,http://60.164.128.167:8029/udp/239.255.30.181:8231
CCTV11,http://60.164.128.167:8029/udp/239.255.30.62:8231
CCTV12,http://60.164.128.167:8029/udp/239.255.30.182:8231
CCTV13,http://60.164.128.167:8029/udp/239.255.29.28:8231
CCTV14,http://60.164.128.167:8029/udp/239.255.30.183:8231
CCTV15,http://60.164.128.167:8029/udp/239.255.30.68:8231
CCTV16,http://60.164.128.167:8029/udp/239.255.30.88:8231
CCTV17,http://60.164.128.167:8029/udp/239.255.30.96:8231
湖南卫视,http://60.164.128.167:8029/udp/239.255.30.136:8231
东方卫视,http://60.164.128.167:8029/udp/239.255.30.130:8231
江苏卫视,http://60.164.128.167:8029/udp/239.255.30.131:8231
浙江卫视,http://60.164.128.167:8029/udp/239.255.30.132:8231
北京卫视,http://60.164.128.167:8029/udp/239.255.30.133:8231
广东卫视,http://60.164.128.167:8029/udp/239.255.30.134:8231
深圳卫视,http://60.164.128.167:8029/udp/239.255.30.135:8231
黑龙江卫视,http://60.164.128.167:8029/udp/239.255.30.137:8231
湖北卫视,http://60.164.128.167:8029/udp/239.255.30.138:8231
山东卫视,http://60.164.128.167:8029/udp/239.255.30.139:8231
甘肃卫视,http://60.164.128.167:8029/udp/239.255.30.249:8231
天津卫视,http://60.164.128.167:8029/udp/239.255.30.67:8231
辽宁卫视,http://60.164.128.167:8029/udp/239.255.30.69:8231
江西卫视,http://60.164.128.167:8029/udp/239.255.30.71:8231
贵州卫视,http://60.164.128.167:8029/udp/239.255.30.98:8231
海南卫视,http://60.164.128.167:8029/udp/239.255.30.99:8231
安徽卫视,http://60.164.128.167:8029/udp/239.255.30.84:8231
河北卫视,http://60.164.128.167:8029/udp/239.255.30.85:8231
东南卫视,http://60.164.128.167:8029/udp/239.255.30.86:8231
四川卫视,http://60.164.128.167:8029/udp/239.255.30.91:8231
重庆卫视,http://60.164.128.167:8029/udp/239.255.30.89:8231
云南卫视,http://60.164.128.167:8029/udp/239.255.29.2:8231
河南卫视,http://60.164.128.167:8029/udp/239.255.29.3:8231
广西卫视,http://60.164.128.167:8029/udp/239.255.29.4:8231
吉林卫视,http://60.164.128.167:8029/udp/239.255.29.5:8231
中国教育1台,http://60.164.128.167:8029/udp/239.255.30.90:8231
凤凰香港,http://60.164.128.167:8029/udp/239.255.30.123:8231
凤凰中文,http://60.164.128.167:8029/udp/239.255.30.50:8231
凤凰资讯,http://60.164.128.167:8029/udp/239.255.30.70:8231
五星体育,http://60.164.128.167:8029/udp/239.255.29.45:8231
体育,http://60.164.128.167:8029/udp/239.255.29.31:8231
金塔,http://60.164.128.167:8029/udp/239.255.30.224:8231
酒钢电视,http://60.164.128.167:8029/udp/239.255.30.94:8231
嘉峪关公共,http://60.164.128.167:8029/udp/239.255.29.35:8231
嘉峪关综合,http://60.164.128.167:8029/udp/239.255.29.36:8231
戏曲精选,http://60.164.128.167:8029/udp/239.255.30.118:8231
都市剧场,http://60.164.128.167:8029/udp/239.255.29.41:8231
红色谍战剧场,http://60.164.128.167:8029/udp/239.255.30.166:8231
上视纪实,http://60.164.128.167:8029/udp/239.255.30.176:8231
华语电影,http://60.164.128.167:8029/udp/239.255.30.193:8231
星光影院,http://60.164.128.167:8029/udp/239.255.30.194:8231
全球大片,http://60.164.128.167:8029/udp/239.255.30.196:8231
看天下精选,http://60.164.128.167:8029/udp/239.255.30.217:8231
SITV欢笑剧场,http://60.164.128.167:8029/udp/239.255.29.7:8231
全纪实,http://60.164.128.167:8029/udp/239.255.29.17:8231
生活时尚,http://60.164.128.167:8029/udp/239.255.29.18:8231
SITV都市剧场,http://60.164.128.167:8029/udp/239.255.29.22:8231
SITV金色学堂,http://60.164.128.167:8029/udp/239.255.29.23:8231
SITV法治天地,http://60.164.128.167:8029/udp/239.255.29.24:8231
足球频道,http://60.164.128.167:8029/udp/239.255.29.25:8231
MAX极速汽车,http://60.164.128.167:8029/udp/239.255.30.149:8231
羽毛球精品赛事,http://60.164.128.167:8029/udp/239.255.29.31:8231
IPTV5+,http://60.164.128.167:8029/udp/239.255.30.115:8231
陇上生活,http://60.164.128.167:8029/udp/239.255.30.73:8231
临夏新闻,http://60.164.128.167:8029/udp/239.255.30.107:8231
临夏文旅,http://60.164.128.167:8029/udp/239.255.30.108:8231
临夏经济,http://60.164.128.167:8029/udp/239.255.30.106:8231
